city,country,2017,2018,2019,2020,2021,2022,2023
Hohhot,China,41.2,35.3,36.4,39.4,30.8,23.7,23.7
Honghe,China,33.2,25.0,26.2,25.7,27.0,23.1,22.8
Hotan,China,91.9,116.0,110.1,110.2,101.5,94.3,95.0
Huaibei,China,66.2,58.2,55.1,49.8,42.2,42.9,42.9
Huaihua,China,38.1,33.1,35.4,27.8,27.4,27.8,27.9
Huainan,China,61.6,54.8,52.5,47.4,42.2,40.8,40.2
Huanggang,China,48.9,40.8,41.0,35.8,24.05,23.75,23.8
Huangnan,China,32.9,29.2,22.6,23.6,25.0,28.0,28.1
Huangshan,China,25.2,23.4,24.0,21.0,21.1,20.8,20.7
Huangshi,China,55.2,41.7,40.6,35.0,33.0,32.1,32.1
Huizhou,China,29.1,27.0,25.1,20.2,20.0,17.1,17.1
Huludao,China,44.6,41.0,45.5,41.7,36.8,32.2,32.2
Hulunbeir,China,22.9,16.7,17.4,17.2,15.5,17.5,17.5
Huzhou,China,41.1,35.1,32.2,26.2,25.3,29.2,29.2
Ili,China,49.6,47.1,41.5,43.6,35.7,36.1,36.1
Jiamusi,China,36.6,28.4,27.1,27.1,27.2,24.5,24.7
Jian,China,52.0,39.1,34.4,28.3,25.5,22.0,22.0
Jiangmen,China,37.0,30.2,27.0,21.3,22.2,19.9,19.9
Jiangyin,China,55.1,48.8,41.8,36.8,33.9,36.7,33.6
Jiaonan,China,40.1,33.6,39.5,34.1,29.4,26.0,26.1
Jiaozuo,China,74.8,66.9,61.3,56.2,47.1,49.5,49.4
Jiaxing,China,41.5,38.1,35.0,27.7,26.5,26.2,26.3
Jiayuguan,China,23.0,28.1,26.5,29.5,29.3,28.3,28.2
Jieyang,China,33.4,34.1,30.6,27.8,27.6,23.7,23.7
Jilin,China,46.6,32.4,34.4,35.9,29.2,26.7,26.8
Jimo,China,41.7,32.8,44.0,38.6,34.8,28.5,28.6
Jinan,China,63.7,52.9,54.4,49.0,42.0,36.2,36.2
Jinchang,China,27.1,25.2,20.8,21.2,31.0,38.4,38.3
Jincheng,China,63.4,59.8,54.1,46.2,35.7,38.0,37.9
Jingdezhen,China,37.8,28.8,26.7,24.3,22.7,19.2,19.1
Jingmen,China,49.5,56.2,56.4,45.3,45.6,44.8,44.9
Jingzhou,China,55.7,47.7,45.3,36.1,35.0,42.7,42.7
Jinhua,China,41.5,33.3,32.4,27.9,25.6,24.5,24.5
Jining,China,56.2,50.1,56.6,53.4,36.45,31.35,31.35
Jinzhong,China,61.0,53.5,45.5,43.0,39.1,46.1,46.0
Jinzhou,China,46.8,44.4,45.3,46.9,41.6,36.2,36.3
Jiujiang,China,48.05,43.35,48.65,39.2,34.2,31.4,31.75
Jiuquan,China,34.5,33.3,27.6,30.1,31.0,30.9,30.8
Jixi,China,36.2,29.2,27.1,23.4,26.3,22.5,22.6
Jurong,China,47.5,50.7,43.8,37.3,34.6,33.5,33.7
Kaifeng,China,66.8,64.6,61.0,55.5,47.8,50.2,50.2
Karamay,China,31.3,25.2,23.4,25.2,22.9,26.1,26.3
Kashgar,China,97.5,95.7,87.1,81.0,83.2,73.4,73.3
Kizilsu,China,43.4,60.0,48.6,52.0,43.9,52.8,52.7
Korla,China,43.0,46.3,47.1,44.7,42.1,40.0,39.9
Kumul,China,31.9,28.5,29.8,29.3,28.2,26.7,26.7
Kunming,China,26.8,27.2,25.1,22.4,23.3,19.3,19.3
Langfang,China,78.5,55.8,47.1,43.3,40.1,34.1,34.1
Lanzhou,China,48.6,45.9,35.7,33.0,37.1,35.1,35.1
Lasa,China,16.9,14.6,10.5,10.6,9.0,7.1,7.1
Leshan,China,55.4,45.7,42.0,35.8,38.6,40.1,40.0
Liangshan,China,21.7,20.7,19.7,21.4,20.8,20.5,20.4
Lianyungang,China,45.0,43.4,42.1,36.1,32.2,29.1,29.1
Liaocheng,China,72.0,60.3,58.8,53.9,47.6,43.0,43.0
Liaoyang,China,45.9,37.6,40.3,40.5,36.6,33.4,33.4
Liaoyuan,China,48.5,35.6,37.6,38.9,32.6,30.8,30.8
Lijiang,China,13.8,15.6,10.5,11.7,12.0,14.1,14.0
Linan,China,41.2,35.9,36.1,29.2,26.4,26.1,26.3
Lincang,China,24.3,27.4,31.4,25.8,29.1,24.7,24.8
Linfen,China,80.6,68.2,61.7,52.5,55.5,49.1,49.0
